,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-ademamix,Python
49,ml-afv,Python
50,ml-agm,Python
51,ml-aim,Python
52,ml-all-pairs,Python
53,ml-ane-transformers,Python
54,ml-aspanformer,Python
55,ml-aura,Python
56,ml-autofocusformer,Python
57,ml-autofocusformer-segmentation,Python
58,ml-batchquant,Python
59,ml-behavioral-testing-for-mt,
60,ml-calibration,Jupyter Notebook
61,ml-capsules-inverted-attention-routing,Python
62,ml-cifar-10-faster,Python
63,ml-code-switched-speech-translation,Python
64,ml-codeswitching-translations,
65,ml-collegial-ensembles,Python
66,ml-compress-and-compare,Python
67,ml-core,Python
68,ml-covid-mobility,R
69,ml-cread,Python
70,ml-cvnets,Python
71,ml-cvpr2019-swd,Python
72,ml-dab,Python
73,ml-data-parameters,Python
74,ml-delphi,
75,ml-depth-pro,Python
76,ml-destseg,Python
77,ml-diffusion-alignment-gflownet,Python
78,ml-direct2.5,Python
79,ml-dms-dataset,Python
80,ml-dprecs,Jupyter Notebook
81,ml-dr,Python
82,ml-duet,Python
83,ml-entity-deduction-arena,Python
84,ml-entropy-reconstruction,Python
85,ml-envmapnet,Python
86,ml-equivariant-neural-rendering,Jupyter Notebook
87,ml-facelit,Python
88,ml-famae,Python
89,ml-fastvit,Python
90,ml-fct,Python
91,ml-ferret,Python
92,ml-finerecon,Python
93,ml-flair,Jupyter Notebook
94,ml-gaudi,
95,ml-gendered-translation,Ruby
96,ml-gmpi,Python
97,ml-gsn,Python
98,ml-hd-gist,Python
99,ml-heart-rate-models,Python
100,ml-hierarchical-confusion-matrix,TypeScript
101,ml-hugs,Python
102,ml-hypersim,Python
103,ml-interspeech2022-phi_rtn,
104,ml-jointnet,Python
105,ml-key-retrieval-code-tasks,Python
106,ml-keyframer,JavaScript
107,ml-kge,Python
108,ml-knowledge-conflicts,Python
109,ml-live-pose,
110,ml-llarp,Python
111,ml-lucid-datagen,Python
112,ml-mad-bench,Jupyter Notebook
113,ml-mcf,Python
114,ml-mdm,Python
115,ml-mgie,Python
116,ml-mia-bench,Jupyter Notebook
117,ml-MixupMP,Python
118,ml-mkqa,Python
119,ml-mobileclip,Python
120,ml-mobileone,Swift
121,ml-mofi,Python
122,ml-multiple-futures-prediction,Python
123,ml-mycelium,JavaScript
124,ml-ncg,Python
125,ml-neilf,Python
126,ml-neilfpp,Python
127,ml-neuman,Python
128,ml-no-token-left-behind,Jupyter Notebook
129,ml-np-rasp,Python
130,ml-nvas3d,Python
131,ml-ogen,Python
132,ml-pgdvs,Python
133,ml-planner,Python
134,ml-pointconvformer,Python
135,ml-pointersect,Python
136,ml-probabilistic-attention,Python
137,ml-projunit,Python
138,ml-qrecc,Python
139,ml-quant,Python
140,ml-recurrent-drafter,Python
141,ml-reed,Python
142,ml-rlgrad,Python
143,ml-robust-expert-augmentations,Python
144,ml-rpm-bench,Python
145,ml-sad,Python
146,ml-sampleplan,Python
147,ml-selfcond,Python
148,ml-shuffling-amplification,Python
149,ml-sigma-reparam,Python
150,ml-sigmoid-attention,Python
151,ml-slowfast-llava,Python
152,ml-spatial-librispeech,
153,ml-spin,Python
154,ml-stable-diffusion,Python
155,ml-stabledreamer,
156,ml-stuttering-events-dataset,Python
157,ml-superposition-prompting,Python
158,ml-symphony,Svelte
159,ml-tic-clip,Python
160,ml-toad,Python
161,ml-tract,Python
162,ml-transcript-translation-consistency-ratings,
163,ml-translate-vis,TypeScript
164,ml-tree-dst,Python
165,ml-tune-mode-convbn,Python
166,ml-tweak,Python
167,ml-upscale,Jupyter Notebook
168,ml-uwac,Python
169,ml-veclip,Jupyter Notebook
170,ml-vfi-smiff,Python
171,ml-vfm-kt,
172,ml-vision-transformers-ane,Python
173,music-feed-examples,Java
174,openjdk,Java
175,password-manager-resources,JavaScript
176,pfl-research,Jupyter Notebook
177,pkl,Java
178,pkl-evolution,
179,pkl-go,Go
180,pkl-go-examples,Go
181,pkl-intellij,Kotlin
182,pkl-jvm-examples,Groovy
183,pkl-k8s,Pkl
184,pkl-k8s-examples,
185,pkl-lang.org,JavaScript
186,pkl-lsp,Kotlin
187,pkl-neovim,Scheme
188,pkl-package-docs,Kotlin
189,pkl-pantry,Pkl
190,pkl-project-commons,
191,pkl-spring,Java
192,pkl-swift,Swift
193,pkl-swift-examples,Swift
194,pkl-vscode,TypeScript
195,pkl.tmbundle,
196,pytorch-speech-features,Python
197,rules_pkl,Starlark
198,sample-backyard-birds,Swift
199,sample-cloudkit-coredatasync,Swift
200,sample-cloudkit-encryption,Swift
201,sample-cloudkit-privatedb,Swift
202,sample-cloudkit-privatedb-sync,Swift
203,sample-cloudkit-queries,Swift
204,sample-cloudkit-sharing,Swift
205,sample-cloudkit-sync-engine,Swift
206,sample-cloudkit-tooling,JavaScript
207,sample-cloudkit-zonesharing,Swift
208,sample-food-truck,Swift
209,servicetalk,Java
210,swift-3-api-guidelines-review,Swift
211,swift-algorithms,Swift
212,swift-aoc-starter-example,Swift
213,swift-argument-parser,Swift
214,swift-asn1,Swift
215,swift-async-algorithms,Swift
216,swift-async-dns-resolver,Swift
217,swift-atomics,Swift
218,swift-cassandra-client,Swift
219,swift-certificates,Swift
220,swift-clang,C++
221,swift-clang-tools-extra,C++
222,swift-cluster-membership,Swift
223,swift-cmake-examples,CMake
224,swift-collections,Swift
225,swift-collections-benchmark,Swift
226,swift-compiler-rt,C
227,swift-container-plugin,Swift
228,swift-corelibs-libdispatch,C
229,swift-crypto,C
230,swift-distributed-actors,Swift
231,swift-distributed-tracing,Swift
232,swift-distributed-tracing-baggage-core,Swift
233,swift-distributed-tracing-extras,Swift
234,swift-embedded-examples,Swift
235,swift-evolution-staging,Swift
236,swift-for-wasm-examples,Swift
237,swift-getting-started-cli,Swift
238,swift-getting-started-package-library,Swift
239,swift-homomorphic-encryption,Swift
240,swift-homomorphic-encryption-protobuf,
241,swift-http-structured-headers,Swift
242,swift-http-types,Swift
243,swift-internals,HTML
244,swift-issues,
245,swift-libcxx,C++
246,swift-llbuild2,Swift
247,swift-lldb,C++
248,swift-llvm,LLVM
249,swift-log,Swift
250,swift-matter-examples,Swift
251,swift-metrics,Swift
252,swift-metrics-extras,Swift
253,swift-migration-guide,Markdown
254,swift-mmio,Swift
255,swift-nio,Swift
256,swift-nio-examples,Swift
257,swift-nio-extras,Swift
258,swift-nio-http2,Swift
259,swift-nio-imap,Swift
260,swift-nio-nghttp2-support,Swift
261,swift-nio-oblivious-http,Swift
262,swift-nio-ssh,Swift
263,swift-nio-ssl,C
264,swift-nio-ssl-support,Swift
265,swift-nio-transport-services,Swift
266,swift-nio-zlib-support,Swift
267,swift-numerics,Swift
268,swift-openapi-generator,Swift
269,swift-openapi-runtime,Swift
